Date : 2025-05-05 21:52:36
Directory : ./
Total : 86 files,  16689 codes, 1111 comments, 1510 blanks, all 19310 lines, 6.24% comment rate

Languages
+------------+------------+------------+------------+------------+------------+--------------+
| language   | files      | code       | comment    | blank      | total      | comment rate |
+------------+------------+------------+------------+------------+------------+--------------+
| Vue        |         23 |      5,344 |        206 |        643 |      6,193 |        3.71% |
| JSON       |          4 |      4,905 |          0 |          4 |      4,909 |        0.00% |
| MS SQL     |          5 |      3,329 |        197 |        449 |      3,975 |        5.59% |
| JavaScript |         37 |      2,908 |        706 |        375 |      3,989 |       19.54% |
| Markdown   |          3 |        149 |          0 |         27 |        176 |        0.00% |
| HTML       |          2 |         27 |          0 |          0 |         27 |        0.00% |
| Less       |          2 |         17 |          2 |          2 |         21 |       10.53% |
| CSS        |         10 |         10 |          0 |         10 |         20 |        0.00% |
+------------+------------+------------+------------+------------+------------+--------------+

Directories
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                              | files      | code       | comment    | blank      | total      | comment rate |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                 |         86 |     16,689 |      1,111 |      1,510 |     19,310 |        6.24% |
| web                                               |         56 |      8,418 |        711 |        689 |      9,818 |        7.79% |
| web/src                                           |         29 |      5,529 |        212 |        665 |      6,406 |        3.69% |
| server                                            |         25 |      5,438 |        276 |        443 |      6,157 |        4.83% |
| web/src/views                                     |         16 |      4,527 |        176 |        516 |      5,219 |        3.74% |
| server/src                                        |         22 |      3,275 |        266 |        427 |      3,968 |        7.51% |
| server/src/controllers                            |         12 |      2,395 |        152 |        269 |      2,816 |        5.97% |
| web/src/views/teacher                             |          3 |      1,154 |         62 |        124 |      1,340 |        5.10% |
| web/src/views/student                             |          4 |      1,036 |         40 |        124 |      1,200 |        3.72% |
| web/src/views/Course                              |          1 |        992 |         48 |        105 |      1,145 |        4.62% |
| web/src/components                                |          4 |        648 |         23 |        102 |        773 |        3.43% |
| server/src/database                               |          2 |        631 |         71 |         97 |        799 |       10.11% |
| web/src/views/register                            |          1 |        370 |         13 |         46 |        429 |        3.39% |
| web/src/views/admin                               |          3 |        300 |          6 |         34 |        340 |        1.96% |
| web/src/views/login                               |          1 |        224 |          0 |         31 |        255 |        0.00% |
| server/src/routes                                 |          5 |        151 |         31 |         41 |        223 |       17.03% |
| web/src/layouts                                   |          1 |        144 |          7 |         21 |        172 |        4.64% |
| web/src/router                                    |          1 |        124 |          3 |         11 |        138 |        2.36% |
| web/src/components/Course                         |          1 |         95 |          3 |         16 |        114 |        3.06% |
| web/dist                                          |         23 |         44 |        499 |         21 |        564 |       91.90% |
| server/src/config                                 |          2 |         37 |          3 |          5 |         45 |        7.50% |
| web/dist/assets                                   |         22 |         30 |        499 |         21 |        550 |       94.33% |
| web/src/stores                                    |          2 |         26 |          0 |          5 |         31 |        0.00% |
| web/src/layout                                    |          1 |         18 |          0 |          2 |         20 |        0.00% |
| web/src/assets/styles                             |          2 |         17 |          2 |          2 |         21 |       10.53% |
| web/src/assets                                    |          2 |         17 |          2 |          2 |         21 |       10.53% |
| web/src/views/dashboard                           |          1 |          7 |          0 |          1 |          8 |        0.00% |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+

Files
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| filename                                          | language   | code       | comment    | blank      | total      | comment rate |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| TeachingManagementSystem_2024-12-16.sql           | MS SQL     |        652 |         34 |        106 |        792 |        4.96% |
| TeachingManagementSystem_2024-12-27.sql           | MS SQL     |        765 |         45 |        131 |        941 |        5.56% |
| TeachingManagementSystem_2025-04-09.sql           | MS SQL     |      1,410 |         45 |        140 |      1,595 |        3.09% |
| interface.md                                      | Markdown   |          5 |          0 |          1 |          6 |        0.00% |
| model.md                                          | Markdown   |          1 |          0 |          0 |          1 |        0.00% |
| server/app.js                                     | JavaScript |         67 |         10 |         14 |         91 |       12.99% |
| server/package-lock.json                          | JSON       |      2,070 |          0 |          1 |      2,071 |        0.00% |
| server/package.json                               | JSON       |         26 |          0 |          1 |         27 |        0.00% |
| server/src/config/data.sql                        | MS SQL     |         14 |          2 |          1 |         17 |       12.50% |
| server/src/config/database.js                     | JavaScript |         23 |          1 |          4 |         28 |        4.17% |
| server/src/controllers/adminController.js         | JavaScript |         32 |          4 |          5 |         41 |       11.11% |
| server/src/controllers/aiController.js            | JavaScript |         67 |          5 |         11 |         83 |        6.94% |
| server/src/controllers/authController.js          | JavaScript |        163 |         10 |         18 |        191 |        5.78% |
| server/src/controllers/chatController.js          | JavaScript |         49 |          2 |          5 |         56 |        3.92% |
| server/src/controllers/courseController.js        | JavaScript |        665 |         39 |         71 |        775 |        5.54% |
| server/src/controllers/departmentController.js    | JavaScript |         70 |          4 |          8 |         82 |        5.41% |
| server/src/controllers/gradeController.js         | JavaScript |        118 |          8 |         13 |        139 |        6.35% |
| server/src/controllers/logController.js           | JavaScript |         43 |          3 |          5 |         51 |        6.52% |
| server/src/controllers/studentController.js       | JavaScript |        162 |         14 |         22 |        198 |        7.95% |
| server/src/controllers/studentCourseController.js | JavaScript |        281 |         24 |         34 |        339 |        7.87% |
| server/src/controllers/teacherController.js       | JavaScript |        314 |         11 |         29 |        354 |        3.38% |
| server/src/controllers/teachingTaskController.js  | JavaScript |        431 |         28 |         48 |        507 |        6.10% |
| server/src/database/data.md                       | Markdown   |        143 |          0 |         26 |        169 |        0.00% |
